author,comment,published_at,clean_comment
@ratuaurora7183,"Itu harusnya pembelajaran untuk kita semua, beliu2 ini yang mendidik dan memberikan ilmu agama ke banyak penerus bangsa, bagaimana dengan kita yang hanya menyudutkan pihak pondok tetapi tidak melihat usaha pondok untuk bisa membangun dan memberi fasilitas, padahal kita tau dari mana penghasilan mereka para pengajar ilmu agama.. seberapa besar dana yang diterima dari para santri.. bagaiman sulitnya beliau ini mencari dana..",2 months ago,harus ajar semua beliu didik beri ilmu agama banyak terus bangsa bagaimana sudut pihak pondok lihat usaha pondok bangun beri fasilitas padahal tau mana hasil ajar ilmu agama berapa besar dana terima santri bagaiman sulit beliau cari dana
@grahacelluler354,Apa mungkin materialnya banyak yg ditelen,2 months ago,apa mungkin material banyak ditelen
@ANDRIEDRAKNESS,"paham apa arti takdir mas,,kalo gk paham lbh baik diem perbaiki diri kita brsyukur msih hidup dan intinya perbaiki diri,,jangan bicara yg bukan ilmunya",2 months ago,paham apa arti takdir maskalo paham lbh baik diem baik diri brsyukur msih hidup inti baik rijang bicara bukan ilmu
@ariiharianto1747,"Doakan yg baikbaik saja, mereka pasti bertanggung jawab dunia bahkan akherat, gak usah komen yg menyudutkan atau memvonis selagi tidak bisa membantu apa apa dan tidak tau penyebab pasti kejadian sebenarnya.",2 months ago,doa baikbaik tanggung jawab dunia bahkan akherat gak usah komen sudut vonis bantu apa apa tau sebab jadi benar
@MuissakirSakir,"Suatu kejadian yang sudah terjadi semua atas izin Allah. Lha kamu juga bisa komen seperti ini kan juga karena takdir,",2 months ago,suatu jadi jadi semua atas izin allah lha kamu komen kan takdir
@Masykuroh-u1b,"Kenapa ya klo untuk bangunan pondok pesantren tidak di buat se kuat gedung2 pencakar langit,pdhal isi pondok pesantren itu cikal bakal masa depan anak bangsa yg beragama , insyaallah berahlak mulia",2 months ago,klo bangun pondok pesantren buat se kuat gedung cakar langitpdhal isi pondok pesantren cikal bakal masa depan anak bangsa agama insyaallah berahlak mulia
@saifudin.tok29,Aamiin,2 months ago,aamiin
@jusiahzen984,Kenapa bangunan yg sdng proses perbaikan msh dipakai ???????????,2 months ago,bangun sdng proses baik msh pakai
@iblesbosuok,"Maksudnya ada 'rancangan final' nya. Rancangan final 4 lantai maka pondasi2nya, kolom2nya, sloof2nya, ring2nya hrs dirancang scr proporsional utk 4 lantai. Realisasinya juga hrs mematuhi rancangan final, walau diangsur bagian demi bagian.",2 months ago,maksud rancang final nya rancang final lantai pondasinya kolom sloofnya ring hrs rancang scr proporsional utk lantai realisasi hrs patuh rancang final angsur bagi bagi
@pasetyoplafonbajaringan7395,Takut modal nya banyak kalo memakai jasa arsitektur dan teknik sipil.,2 months ago,takut modal nya banyak kalo pakai jasa arsitektur teknik sipil
@didiksetyono4990,"Betul setuju, bangunan yang sifatnya digunakan untuk banyak orang harus punya arsitektur yang kuat",2 months ago,betul tuju bangun sifat guna banyak orang punya arsitektur kuat
@HabibMuqoffi,"Lah ini maksudku semua dimana2 pondok besar tidak memaksakan semua ada arsitekturnya kalo memang dana belum ada apa adanya aja namanya mondok itu tirakat bangunan kayupun lebih nyaman pak,",2 months ago,lah maksud semua pondok besar paksa semua arsitektur kalo memang dana apa ada nama mondok tirakat bangun kayu lebih nyaman pak
@UmarUmar-t5v,Kalau mas alah dana jgn hatir,2 months ago,kalau mas alah dana jgn hatir
@edyponorogo5217,Bukan takdir itu pak .itu kelalaian dan betul ada yang hrs tanggung jwb.klau di bilang takdir ya buntu pak .gak ada kejelasan dan tanggung jwb seperti lumpur lapindo nanti.,2 months ago,bukan takdir pak lalai betul hrs tanggung jwbklau bilang takdir buntu pak gak jelas tanggung jwb lumpur lapindo
@RustamAbuathira,"Qaddarallah, msh byk bangunan yg tdk sesuai standar dan asal bangun,  terutama yang bertingkat, kalau dilihat dari reruntuhan ini murni dari kesalahan manusia (kontruksinya asal)

Semoga Allah senantiasa melindungi semuanya, Aamin",2 months ago,qaddarallah msh byk bangun tdk sesuai standar asal bangun utama tingkat kalau lihat runtuh murni salah manusia kontruksinya asal moga allah senantiasa lindung semua aamin
